FName,LName,City,State,HS,Age,Body,Height,Weight,Team,Class,#,RedShirted,Scholarship,Position,Inside,PInside,Jumpshot,PJumpshot,Ft,PFt,3p,P3p,3pUsage,Handling,PHandling,Passing,PPassing,ORb,PORb,DRb,PDRb,PostD,PPostD,PerD,PPerD,Stealing,PStealing,Blocking,PBlocking,Fouling,Quickness,Jumping,Strength,Stamina,Intelligence,OverallPot,Games,Minutes,FGM,FGA,FTM,FTA,3PM,3PA,OReb,DReb,Ast,Stl,Blk,TO,PF,Prestige
Nick,Rene,Hallsville,TX,Hallsville High School,20,1,72,180,Air Force Falcons,1,21,-1,-1,5,35,52,18,18,0,28,20,31,62,48,48,7,22,25,25,34,34,31,31,37,37,36,36,17,17,72,50,48,49,35,49,0,9,31,1,5,0,1,2,4,2,7,3,2,0,3,4,1
Lavelle,Scottie,Arlington,TX,Lamar High School,18,1,79,225,Air Force Falcons,3,12,0,-1,3,16,25,12,23,54,65,34,47,56,44,44,14,22,20,25,5,8,7,10,25,31,41,51,3,5,52,88,51,45,15,26,0,8,23,1,6,0,3,2,2,0,6,1,1,0,2,1,1
Ryan,Swan-Ford,Anaheim,CA,Magnolia High School,20,1,79,235,Air Force Falcons,3,34,0,-1,3,48,48,13,85,0,49,14,25,33,52,52,6,46,37,37,39,39,40,42,31,52,32,32,31,31,80,41,44,54,25,54,0,7,20,2,5,1,3,1,2,1,3,2,1,0,1,0,1
Sid,Tomes,Suffolk,VA,Lakeland High School,22,2,76,200,Air Force Falcons,3,3,-1,-1,5,31,37,86,100,74,76,34,47,53,59,69,38,43,34,47,32,45,40,47,46,50,40,53,19,27,59,74,66,45,51,62,0,26,796,86,222,40,111,45,60,13,56,87,33,1,59,38,3
Keaton,VanSoelen,Hogansville,GA,Callaway High School,21,2,79,190,Air Force Falcons,2,44,-1,-1,5,18,25,40,47,80,80,46,56,53,30,39,31,39,31,32,39,47,9,10,68,69,58,62,31,46,65,81,79,46,34,75,0,27,663,119,219,1,4,60,98,67,85,27,17,39,45,68,3
A.J.,Walker,Gorham,NH,Gorham High School,20,2,74,191,Air Force Falcons,1,10,0,-1,5,50,67,67,78,30,40,64,100,100,7,9,32,39,23,30,38,50,9,10,42,49,33,41,24,33,6,68,65,51,75,54,0,28,652,81,221,38,114,28,43,34,97,46,10,34,50,65,3
James,Edwards,North Canton,OH,Hoover High School,20,3,72,165,Air Force Falcons,2,35,-1,-1,5,20,26,28,47,68,71,26,43,48,30,47,29,50,47,59,30,53,44,73,51,74,46,58,23,42,39,64,63,48,54,62,0,27,606,44,117,31,92,21,22,35,74,33,26,2,14,57,3
Tyler,Cheese,Henning,MN,Henning High School,18,2,77,195,Akron Zips,3,4,0,-1,5,33,54,47,81,48,58,37,47,49,29,47,33,39,57,67,76,95,43,60,43,55,30,36,39,51,39,59,43,51,28,98,0,28,517,52,134,30,81,6,11,13,56,46,29,0,24,56,3
Jake,Fischer,Stanley,WI,Stanley-Boyd High School,23,4,76,180,Akron Zips,1,24,-1,-1,5,60,71,44,51,69,69,23,28,24,63,69,63,73,26,38,68,68,37,41,59,62,84,84,54,56,3,54,46,56,80,26,0,27,504,86,188,27,83,75,100,33,54,23,27,9,29,52,3
Channel,Banks,New Haven,IN,New Haven High School,21,5,76,186,Akron Zips,3,11,-1,-1,5,60,82,29,44,29,33,0,0,0,8,9,16,21,75,83,40,46,57,77,40,48,47,69,33,44,4,26,54,74,57,25,0,28,478,56,133,45,113,10,14,14,37,19,18,11,7,29,3
Jimond,Ivey,Muleshoe,TX,Muleshoe High School,20,1,77,200,Akron Zips,4,0,0,0,5,25,33,7,9,30,38,12,15,14,26,37,16,21,68,94,53,65,61,71,10,14,29,45,69,87,5,23,54,65,28,90,0,27,442,42,88,0,0,34,60,33,62,20,11,23,32,45,3
Loren,Jackson,Vidalia,LA,Vidalia High School,22,1,68,160,Akron Zips,2,1,-1,-1,5,53,64,10,10,30,31,0,0,0,51,73,27,42,45,48,62,68,41,50,11,14,47,59,28,40,45,29,59,61,78,34,0,28,397,47,137,23,77,16,22,9,25,31,16,0,34,42,3
Mark,Kostelac,Wishart,Canada,,22,2,83,250,Akron Zips,2,44,-1,0,1,29,29,10,10,37,37,0,0,0,48,54,33,44,49,50,58,59,99,100,8,10,44,47,86,86,66,15,29,73,84,61,0,27,271,28,70,4,13,20,36,19,25,12,7,4,24,28,3
Marquelle,McIntyre,Bellaire,OH,Bellaire High School,21,5,70,175,Akron Zips,3,12,0,-1,5,41,49,28,42,23,26,34,41,49,35,49,34,53,80,92,93,93,82,82,46,55,15,23,69,85,7,21,25,75,36,65,0,24,207,25,71,14,43,6,17,13,24,5,5,1,12,24,3
Emmanuel,Olojakpoke,Salinas,CA,Alisal High School,20,3,80,190,Akron Zips,3,22,-1,-1,3,57,74,41,61,19,23,0,0,0,6,9,19,23,62,95,39,63,53,63,34,51,20,35,29,44,58,33,44,66,53,2,0,12,41,2,10,1,7,2,4,1,5,2,1,1,5,6,3
Deng,Riak,Nezah,Canada,,20,2,82,225,Akron Zips,3,10,0,-1,1,32,38,66,69,65,74,38,49,50,44,44,53,62,46,70,36,43,26,40,56,64,15,23,15,25,70,84,66,52,51,65,0,1,28,4,7,0,0,2,6,3,10,3,0,0,2,1,4
Jeremy,Roscoe,Brighton,CO,Brighton High School,21,1,74,190,Akron Zips,3,13,-1,-1,5,19,25,55,74,74,81,27,40,39,67,75,65,73,18,25,6,7,26,43,26,34,35,44,24,34,32,86,61,27,71,41,0,7,16,1,4,0,2,1,2,1,2,0,2,0,0,0,4
Jaden,Sayles,St Louis,MO,Beaumont High School,20,3,81,235,Akron Zips,2,23,0,-1,3,46,68,68,100,82,85,8,8,7,30,41,34,55,6,7,34,43,29,32,39,52,55,62,46,66,61,71,64,41,66,25,0,28,981,140,286,30,91,105,131,29,112,67,39,4,42,58,5
Lepear,Toles,Cortez,CO,Montezuma-Cortez High School,21,1,78,195,Akron Zips,2,5,0,-1,5,29,44,30,37,24,27,81,84,72,60,63,53,75,49,63,49,59,37,50,54,62,40,48,22,32,63,78,61,33,100,21,0,27,841,97,206,38,97,46,56,32,70,46,16,6,45,71,5
Daniel,Utomi,Tuscumbia,AL,Colbert Heights High School,21,3,78,215,Akron Zips,3,3,0,-1,3,38,46,76,84,76,81,50,63,74,70,84,59,73,7,9,51,60,29,36,34,41,30,39,47,58,8,82,91,40,65,19,0,28,636,50,81,0,0,31,63,41,92,10,6,49,32,80,5
Scott,Walter,Hebron,IN,Hebron High School,23,2,70,170,Akron Zips,1,14,-1,-1,5,59,61,35,43,42,45,34,34,30,41,48,67,67,54,61,87,94,43,55,26,26,71,71,32,37,32,61,76,66,51,98,0,26,574,60,124,2,11,36,53,45,102,23,14,12,52,81,5
Brandon,Houston,Milan,IN,Milan Senior High School,19,4,79,267,Alabama A&M Bulldogs,2,30,-1,0,3,31,38,41,56,53,74,34,52,42,38,50,28,39,26,44,46,81,43,66,43,74,32,42,38,66,20,40,51,51,35,40,0,28,542,75,180,26,86,54,77,29,60,32,21,14,53,54,5
Arthur,Johnson,Birmingham,AL,Wenonah High School,19,2,74,195,Alabama A&M Bulldogs,4,10,0,-1,5,44,73,23,32,19,26,17,24,23,31,44,37,47,45,68,37,48,29,45,32,46,40,48,36,62,45,52,45,75,56,25,0,28,534,48,113,21,55,21,35,33,80,16,20,5,23,62,5
Walter,Jones,Berry,AL,Berry High School,22,4,77,180,Alabama A&M Bulldogs,3,34,0,-1,5,79,79,12,14,39,44,0,0,0,11,11,50,62,32,32,34,34,73,74,67,80,53,60,96,96,39,41,48,80,55,83,0,28,522,37,141,22,95,36,47,5,25,37,18,0,30,25,5
Andre,Kennedy,Huntsville,AL,Huntsville High School,20,5,79,206,Alabama A&M Bulldogs,4,1,0,-1,3,36,50,5,5,29,35,0,0,0,31,50,24,27,57,61,68,85,52,56,11,17,28,46,26,40,56,50,34,71,25,64,0,19,491,69,167,29,97,81,101,5,36,38,27,0,34,43,5
Brandon,Miller,Abbeville,AL,Abbeville High School,20,2,72,170,Alabama A&M Bulldogs,2,2,0,-1,5,68,72,35,49,39,43,37,47,46,38,41,17,25,44,55,63,63,44,54,37,47,24,28,62,66,42,33,40,68,50,77,0,25,421,40,94,13,30,32,55,17,45,19,21,11,24,46,5
Brandon,Powell,Coffeeville,MS,Coffeeville High School,21,4,74,202,Alabama A&M Bulldogs,1,12,0,0,5,43,55,14,16,42,44,33,36,31,50,72,15,20,64,66,28,37,45,48,12,14,59,68,49,58,73,16,23,97,53,23,0,11,70,3,22,2,16,1,2,0,3,4,3,1,0,14,5
Jalen,Reeder,Guin,AL,Marion County High School,22,1,77,181,Alabama A&M Bulldogs,4,22,-1,-1,5,65,65,33,42,7,7,26,26,26,31,40,30,38,31,31,77,77,98,98,17,22,52,71,13,14,11,37,49,87,94,70,0,9,33,2,5,1,4,2,2,1,1,2,1,1,1,3,5
Gerron,Scissum,Mapleton,MN,Maple River High School,21,1,80,210,Alabama A&M Bulldogs,3,22,-1,-1,5,23,30,45,52,44,54,0,0,0,31,43,45,52,77,83,38,44,78,93,18,32,13,21,44,47,60,31,32,74,59,60,0,3,5,1,1,0,0,0,1,1,2,0,1,0,0,2,5
Shaq,Seville,Augusta,ME,Cony High School,20,1,81,262,Alabama A&M Bulldogs,2,20,0,-1,3,17,26,44,54,76,81,51,68,71,48,48,34,57,7,8,22,29,9,15,42,64,51,77,46,55,84,93,49,42,58,19,0,23,734,159,343,37,127,59,99,75,100,17,32,4,39,67,3
Tre,Todd,Bunnell,FL,Flagler-Palm Coast High School,19,1,71,155,Alabama A&M Bulldogs,3,3,0,-1,5,31,43,28,46,37,40,53,75,77,55,64,40,57,20,26,9,13,4,7,55,85,50,73,26,47,63,75,75,46,31,73,0,22,716,86,209,15,52,74,105,51,124,21,11,23,53,55,3
Evan,Wiley,Whitinsville,MA,Northbridge High School,22,1,78,210,Alabama A&M Bulldogs,3,24,0,-1,3,61,65,51,55,39,40,74,74,58,82,82,89,98,12,12,28,33,11,13,89,89,19,23,12,12,77,73,59,39,100,68,0,24,686,42,104,6,22,70,100,23,49,130,29,2,68,44,3
Brandon,Wright,Columbiana,AL,Shelby County High School,22,5,74,185,Alabama A&M Bulldogs,2,11,0,-1,5,41,52,48,59,36,41,18,19,16,33,37,21,27,17,22,23,32,9,11,21,26,29,43,18,22,77,64,97,49,42,20,0,24,610,41,123,24,80,23,36,15,29,35,21,0,44,41,1
Amari,Goulbourne,Eufaula,AL,Eufaula High School,20,2,69,165,Alabama A&M Bulldogs,2,5,0,-1,5,17,21,35,43,28,30,32,45,44,11,16,23,34,38,47,11,16,14,20,27,40,39,52,14,24,69,66,66,44,57,34,0,24,440,42,117,22,69,22,38,11,35,30,13,3,26,42,1
Dennis,Stallings,Uniontown,AL,Robert C. Hatch High School,20,1,73,182,Alabama A&M Bulldogs,1,32,-1,-1,5,8,15,48,74,79,85,5,7,8,23,29,50,68,9,12,4,5,23,40,46,60,12,18,18,32,9,68,73,37,26,89,0,24,378,33,78,0,2,14,32,32,35,4,7,8,30,50,1
Daniel,Giddens,Birmingham,AL,Parker High School,22,4,83,247,Alabama Crimson Tide,3,4,0,-1,2,20,26,47,52,61,61,23,31,33,39,46,9,10,42,49,27,35,22,27,24,26,39,46,28,34,89,49,48,82,61,40,0,24,339,19,55,8,31,13,18,16,38,13,3,5,14,56,1
Tyler,Barnes,Sheffield,AL,Sheffield High School,20,2,80,205,Alabama Crimson Tide,2,15,0,-1,3,19,27,22,35,60,75,22,34,37,6,8,27,36,13,22,33,38,18,31,39,51,44,48,29,34,39,52,79,64,59,36,0,23,269,20,69,7,35,12,20,15,31,4,4,1,5,28,1
Donta,Hall,Moody,AL,Moody High School,21,3,81,230,Alabama Crimson Tide,4,35,0,0,3,14,17,14,22,10,10,27,33,37,9,10,8,8,29,34,28,41,6,7,8,8,6,6,32,47,37,63,82,63,68,72,0,22,239,27,84,12,33,25,36,5,16,17,4,0,21,25,1
Dazon,Ingram,Mabel,MN,Mabel High School,18,3,77,210,Alabama Crimson Tide,3,12,0,-1,5,33,56,36,45,41,53,0,0,0,22,32,18,24,33,41,61,93,30,36,27,38,30,44,14,21,95,22,32,70,89,49,0,20,173,14,31,0,0,8,25,15,21,4,4,8,18,43,1
Avery,Johnson,Double Springs,AL,Winston County High School,20,1,71,187,Alabama Crimson Tide,4,5,-1,-1,5,19,33,31,48,30,41,23,32,36,38,52,10,16,41,67,40,53,24,41,57,71,20,33,10,16,21,27,35,62,58,56,0,21,149,7,27,4,15,4,10,4,6,10,6,0,12,10,1
Britton,Johnson,Millbrook,AL,Stanhope Elmore High School,20,5,76,182,Alabama Crimson Tide,1,21,-1,-1,5,27,39,38,51,48,50,8,10,9,12,19,18,24,26,36,58,62,26,38,18,24,6,8,40,47,25,24,49,75,58,54,0,5,47,8,19,3,10,3,4,2,4,3,0,2,4,6,1
Herb,Jones,Munford,AL,Munford High School,19,3,79,206,Alabama Crimson Tide,2,10,0,-1,5,28,34,6,11,24,29,0,0,0,6,10,6,8,70,88,28,34,66,78,13,23,22,26,35,47,54,25,23,80,59,79,0,6,45,2,6,0,2,1,5,3,3,0,1,0,2,4,1
Kira,Lewis,Eibar,Spain,,22,5,75,167,Alabama Crimson Tide,1,2,-1,-1,5,26,29,29,31,54,57,9,10,12,30,40,50,57,38,38,50,50,29,29,12,14,20,26,67,71,39,34,43,96,43,78,0,23,743,113,256,28,82,58,77,17,65,118,46,4,54,54,1
Tevin,Mack,Enterprise,AL,Enterprise High School,23,4,78,225,Alabama Crimson Tide,3,34,-1,0,2,29,30,30,38,25,26,0,0,0,14,16,9,9,33,38,19,21,18,21,24,38,24,40,5,5,39,34,29,100,56,23,0,23,694,91,201,41,93,29,40,16,41,45,26,2,30,37,1
John,Petty,Newport,AR,Newport High School,21,3,77,197,Alabama Crimson Tide,2,23,-1,-1,5,19,32,30,44,30,30,26,41,39,51,62,59,72,34,46,7,9,24,36,55,71,28,35,29,42,34,75,50,37,72,42,0,23,629,90,190,0,1,41,75,47,122,29,14,15,34,56,5
Alex,Reese,Hoover,AL,Hoover High School,18,3,81,238,Alabama Crimson Tide,2,3,0,-1,3,24,41,33,46,72,74,62,85,74,52,84,43,64,25,46,27,32,20,31,39,49,27,37,11,17,11,72,72,51,51,71,0,22,499,65,173,32,78,33,46,28,85,26,7,12,29,28,5
Lawson,Schaffer,Gaston,NC,Northampton High-West,22,1,71,168,Alabama Crimson Tide,4,24,-1,-1,5,47,49,42,42,59,59,61,68,77,90,90,80,80,57,62,12,12,64,66,47,47,48,49,30,30,71,84,76,32,90,79,0,23,498,60,110,0,0,52,94,57,75,17,19,11,48,58,5
Galin,Smith,Frisco,CO,Summit High School,22,3,81,245,Alabama Crimson Tide,2,30,-1,0,3,13,16,32,36,71,75,32,39,41,26,29,35,40,7,7,6,8,17,24,24,29,39,51,25,26,25,67,75,57,59,89,0,23,489,86,189,0,1,36,59,42,69,23,13,22,49,61,1
Riley,Norris,Opelika,AL,Beauregard High School,20,2,79,212,Alabama Crimson Tide,4,1,-1,-1,2,25,36,26,49,55,77,45,73,63,25,31,9,17,4,7,7,13,16,28,4,6,19,24,9,17,56,81,53,36,13,53,0,23,325,36,88,24,49,22,28,8,20,19,4,1,20,41,1
Leon,Daniels,Messines,Canada,,20,1,76,175,Alabama State Hornets,1,4,0,0,2,23,35,30,42,61,75,17,20,21,9,15,13,24,29,37,5,7,23,29,47,53,28,41,22,35,27,48,53,71,34,68,0,13,98,10,29,4,19,1,2,0,4,6,1,0,6,2,1
Gene,Davis,Brundidge,AL,Pike County High School,21,2,73,180,Alabama State Hornets,4,3,-1,-1,5,30,37,20,33,23,28,13,22,26,23,29,11,16,21,32,33,44,19,26,53,62,35,54,27,37,9,45,46,57,48,77,0,7,47,4,8,2,4,3,4,1,4,1,3,0,1,4,1
Tobi,Ewuosho,Callicoon,NY,Delaware Valley High School,22,2,77,175,Alabama State Hornets,3,5,-1,-1,5,16,19,36,40,29,35,28,38,32,27,34,9,10,40,54,11,12,27,34,57,60,11,17,8,8,11,63,75,77,40,87,0,5,46,4,11,1,3,2,2,2,2,7,1,1,4,8,1
AJ,Farrar,Ranburne,AL,Ranburne High School,21,3,77,220,Alabama State Hornets,1,13,-1,-1,2,18,25,24,28,37,52,22,39,39,10,14,20,29,35,50,30,40,42,52,15,23,22,32,45,52,33,39,33,85,18,5,0,7,44,4,10,0,0,3,5,3,4,0,1,1,2,5,1
Reginald,Gee,Huntsville,AL,S.R. Butler High School,22,4,75,175,Alabama State Hornets,3,12,-1,-1,5,60,64,22,27,37,43,12,14,13,21,24,29,37,44,50,100,100,27,27,7,7,39,47,32,33,5,44,36,78,70,55,0,8,40,4,9,0,0,2,2,4,8,0,1,3,4,10,1
Therrell,Gosier,Grant,AL,Kate D. Smith Dar High School,20,3,79,225,Alabama State Hornets,1,1,0,-1,3,22,34,11,18,22,27,25,43,37,11,14,18,29,32,43,49,63,44,54,13,19,37,47,52,59,47,46,39,59,47,89,0,6,26,2,7,0,1,0,0,0,1,1,0,0,1,4,1
Kevin,Holston,Fort Payne,AL,Fort Payne High School,21,5,73,180,Alabama State Hornets,2,2,0,-1,5,53,53,15,20,43,43,23,26,28,32,45,5,5,47,59,21,26,63,63,8,10,6,7,30,33,43,16,34,79,63,75,0,6,8,2,4,0,0,2,5,2,1,1,0,0,2,1,1
Branden,Johnson,Cambridge,MN,Cambridge-Isanti High School,20,4,80,205,Alabama State Hornets,2,24,0,-1,1,40,51,9,13,36,38,7,7,8,13,19,36,41,34,44,54,61,84,89,36,51,50,65,39,44,39,27,29,70,63,80,0,3,7,1,4,1,3,0,0,1,1,0,0,0,0,1,1
Ed,Jones,Lafayette,AL,Lafayette High School,21,5,80,205,Alabama State Hornets,4,14,-1,-1,3,35,53,17,28,32,41,15,18,15,35,50,6,8,61,76,72,87,28,45,8,13,23,41,80,81,42,50,34,75,100,53,0,28,980,115,285,52,131,78,96,12,86,86,23,6,60,56,2
Fausto,Pichardo,Warwick,NY,Warwick Valley High School,21,4,80,215,Alabama State Hornets,4,15,-1,-1,3,65,78,27,32,38,44,25,30,34,41,52,21,26,21,32,55,77,7,9,7,9,25,31,56,70,23,15,37,76,45,2,0,28,920,145,275,0,2,101,125,67,149,49,31,20,75,75,2
Austin,Rogers,Gowanda,NY,Gowanda High School,19,4,76,180,Alabama State Hornets,2,11,0,-1,2,32,45,37,53,11,14,10,17,15,38,51,27,40,27,41,32,41,23,33,40,59,36,48,41,47,21,13,35,80,100,45,0,28,826,82,190,28,74,72,95,38,86,61,38,1,47,67,2
Jacoby,Ross,New York Mills,NY,Ny Mills High School,21,3,69,165,Alabama State Hornets,2,10,0,-1,5,25,29,32,39,40,43,18,20,17,24,29,15,19,43,56,58,72,38,45,50,66,53,62,37,46,58,17,22,78,63,51,0,28,652,41,88,1,6,24,34,49,70,18,20,4,24,71,2
Azariah,Seay,Petersburg,IN,Pike Central High School,19,4,76,175,Alabama State Hornets,1,0,0,-1,5,20,26,29,38,47,61,54,68,79,45,45,22,38,5,7,4,6,26,46,6,8,16,27,23,40,86,72,42,28,78,66,0,19,619,84,196,36,105,51,67,11,45,46,8,0,36,19,1
Reece,Brooks,Birmingham,AL,Ensley High School,22,4,69,150,Albany Great Danes,3,4,0,-1,5,25,27,46,57,56,57,78,78,67,49,49,31,31,18,22,22,26,11,15,51,51,22,28,8,9,81,91,65,40,76,74,0,28,575,51,129,26,79,25,37,13,51,18,7,2,16,39,1
Devonte,Campbell,Red Creek,NY,Red Creek High School,21,3,78,235,Albany Great Danes,4,12,0,-1,3,29,32,22,30,51,51,54,54,60,48,48,27,35,26,32,35,42,11,14,25,29,13,16,13,14,8,95,51,32,77,32,0,25,358,47,126,30,83,20,27,5,31,11,9,2,25,36,1
