FName,LName,City,State,HS,Age,Body,Height,Weight,Team,Class,#,RedShirted,Scholarship,Position,Inside,PInside,Jumpshot,PJumpshot,Ft,PFt,3p,P3p,3pUsage,Handling,PHandling,Passing,PPassing,ORb,PORb,DRb,PDRb,PostD,PPostD,PerD,PPerD,Stealing,PStealing,Blocking,PBlocking,Fouling,Quickness,Jumping,Strength,Stamina,Intelligence,OverallPot,Games,Minutes,FGM,FGA,FTM,FTA,3PM,3PA,OReb,DReb,Ast,Stl,Blk,TO,PF,Prestige
Dontaie,ALLEN,Falmouth,KY,Pendleton County HS,18,2,78,200,Kentucky,1,11,0,-1,3,35,40,36,41,40,40,40,43,60,36,38,33,34,38,40,42,44,35,36,41,42,36,36,30,30,36,46,52,44,52,41,6,10,250,140,250,39,72,40,90,34,120,40,25,31,22,30,0
Tre,JONES,Apple Valley,MN,Apple Valley HS,19,3,74,183,Duke,2,3,0,-1,5,60,60,59,59,70,70,53,53,46,52,52,52,52,19,19,40,40,34,34,73,73,66,66,20,20,75,82,63,41,100,61,6,10,345,53,126,37,47,13,40,7,31,71,21,4,34,16,0
Vernon,CAREY,Southwest Ranches,FL,NSU University School,18,5,82,270,Duke,1,1,0,-1,1,83,88,53,53,48,48,32,32,19,44,44,12,12,85,95,90,100,70,75,22,22,43,43,71,81,39,47,60,83,95,36,6,11,261,75,123,51,80,4,6,31,71,6,7,24,19,26,0
Matthew,HURT,Rochester,MN,John Marshall HS,19,3,81,214,Duke,1,21,0,-1,2,62,62,65,65,64,64,66,66,58,44,44,15,15,77,77,49,49,52,52,34,34,38,38,56,56,56,48,50,57,85,43,6,11,233,45,94,12,16,15,37,22,19,8,4,8,14,16,0
Wendell,MOORE,Charlotte,NC,Cox Mill HS,18,3,78,213,Duke,1,0,0,-1,3,48,48,45,45,57,57,16,16,14,39,39,27,27,63,63,46,46,34,34,49,49,56,56,18,18,39,56,58,52,87,37,6,11,238,29,68,16,23,2,6,19,21,21,11,1,25,25,0
Cassius,STANLEY,Los Angeles,CA,Sierra Canyon School,20,2,78,193,Duke,1,2,0,-1,4,58,58,57,57,59,59,50,50,44,42,42,17,17,54,54,45,45,46,46,62,62,54,54,53,53,68,66,80,47,96,47,6,10,241,36,75,25,35,10,23,18,25,9,10,10,17,14,0
Ochai,AGBAJI,Kansas City,MO,Oak Park HS,19,3,77,210,Kansas,2,30,0,-1,4,42,42,76,76,64,64,82,82,76,47,47,30,30,30,30,49,49,39,39,68,68,61,61,13,13,68,62,56,51,100,52,6,11,367,47,99,9,12,22,55,12,41,30,19,2,23,21,0
Devon,DOTSON,Charlotte,NC,Providence Day School,20,3,74,185,Kansas,2,1,0,-1,5,60,60,67,67,75,75,54,54,48,56,56,40,40,18,18,43,43,29,29,73,73,65,65,3,3,78,86,67,42,100,62,6,11,383,67,138,62,75,15,46,7,37,52,23,0,30,16,0
Udoka,AZUBUIKE,Delta,Nigeria,Potter's House Christian Academy,20,4,84,270,Kansas,4,35,0,-1,1,76,76,51,51,8,8,0,0,0,46,46,20,20,76,76,91,91,74,74,24,24,43,43,77,77,46,43,50,88,78,41,6,11,290,70,87,14,39,0,0,24,68,16,8,22,22,25,0
Jalen,WILSON,Denton,TX,John H. Guyer HS,19,2,80,215,Kansas,1,10,0,-1,3,54,54,40,40,42,42,45,45,61,28,28,45,45,39,39,40,40,36,36,22,22,30,30,15,15,28,57,56,51,59,32,6,36,800,239,444,118,183,57,148,80,191,109,31,11,100,82,0
Tristan,ENARUNA,Almere,Netherlands,Wasatch Academy,18,2,80,200,Kansas,1,13,0,-1,4,55,55,35,35,0,0,32,32,43,45,45,21,21,29,29,53,53,49,49,56,56,51,51,48,48,63,57,70,51,68,47,6,11,186,17,47,5,8,6,20,7,29,16,7,8,14,14,0
Christian,BRAUN,Overland Park,KS,Blue Valley Northwest HS,18,3,72,200,Kansas,1,2,0,0,4,54,54,41,41,0,0,28,28,47,46,46,14,14,34,34,48,48,40,40,64,64,59,59,32,32,60,63,65,49,50,45,6,11,121,14,34,0,4,5,18,6,16,5,7,3,6,10,0
Cole,ANTHONY,New York,NY,Oak Hill Academy,19,3,75,190,North Carolina,1,2,0,-1,5,44,44,60,60,54,54,78,78,65,46,46,31,31,13,13,65,65,42,42,67,67,64,64,21,21,50,85,68,51,100,45,6,9,298,56,152,38,56,22,62,3,54,31,17,4,34,27,0
Armando,BACOT,Richmond,VA,IMG Academy,19,3,82,232,North Carolina,1,5,0,-1,2,72,72,38,38,35,35,0,0,0,42,42,13,13,100,100,88,88,68,68,25,25,40,40,73,73,41,46,72,76,87,36,6,12,261,47,94,26,48,0,0,40,61,6,5,20,17,25,0
Anthony,HARRIS,Woodbridge,VA,Paul VI HS,19,3,76,190,North Carolina,1,0,0,-1,5,63,63,42,42,0,0,32,32,38,68,68,8,8,15,15,23,23,22,22,50,50,47,47,7,7,79,76,47,35,50,60,6,4,47,10,17,5,6,3,6,2,2,2,3,0,0,5,0
Garrison,BROOKS,Lafayette,AL,Auburn HS,20,4,81,235,North Carolina,3,15,0,-1,2,68,68,100,100,100,100,56,56,35,45,45,23,23,70,70,72,72,58,58,36,36,40,40,50,50,52,47,56,62,100,43,5,32,82,102,17,66,63,7,2,17,192,123,387,170,1116,207,4
Bryan,ANTOINE,Tinton Falls,NJ,Ranney School,18,2,77,175,Villanova,1,1,0,-1,4,65,65,35,35,0,0,13,13,32,55,55,7,7,17,17,26,26,21,21,44,44,43,43,12,12,75,64,56,39,50,53,6,6,43,6,10,0,0,1,4,1,3,3,2,0,1,16,5
Jeremiah,ROBINSON-EARL,Overland Park,KS,Bishop Miege HS,19,3,81,232,Villanova,1,24,0,-1,2,58,58,62,62,78,78,47,47,39,45,45,26,26,76,76,86,86,68,68,50,50,51,51,47,47,60,43,52,76,100,47,6,11,345,47,102,28,33,8,26,31,75,22,13,7,24,22,0
Justin,MOORE,Fort Washington,MD,Dematha HS,19,3,76,210,Villanova,1,5,0,-1,5,46,46,62,62,66,66,64,64,58,59,59,28,28,14,14,34,34,29,29,52,52,48,48,12,12,69,75,51,40,100,57,6,11,318,50,111,16,21,18,46,4,23,21,9,2,21,18,0
Eric,DIXON,Willow Grove,PA,Abington HS,18,5,80,270,Villanova,1,43,0,-1,2,38,38,28,28,25,25,0,0,0,20,20,22,22,35,35,38,38,37,37,17,17,17,17,34,34,35,34,40,60,65,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadi,DIAKITE,Conakry,Guinea,Blue Ridge HS,22,3,81,228,Virginia,4,25,0,-1,3,50,50,56,56,63,63,46,46,36,43,43,11,11,48,48,65,65,59,59,54,54,50,50,55,55,71,58,68,63,93,48,5,11,347,56,121,31,42,10,25,18,52,4,12,13,23,17,0
Casey,MORSELL,Fort Washington,MD,St. John's College HS,19,3,75,195,Virginia,1,13,0,-1,5,55,55,28,28,0,0,21,21,45,62,62,22,22,14,14,34,34,27,27,49,49,47,47,12,12,62,60,47,38,100,54,6,11,313,21,86,7,9,6,48,4,22,14,8,2,17,21,0
Kadin,SHEDRICK,Raleigh,NC,Holly Springs HS,18,2,83,214,Virginia,1,21,0,-1,2,36,36,26,26,40,40,12,12,15,26,26,23,23,32,32,36,36,36,36,24,24,14,14,30,30,30,45,42,38,60,50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,NWORA,Buffalo,NY,Canisius HS,21,3,79,225,Louisville,3,33,0,-1,3,64,64,74,74,72,72,87,87,67,41,41,21,21,49,49,78,78,53,53,53,53,51,51,21,21,63,68,65,68,99,46,6,12,370,90,187,45,56,29,70,20,70,17,13,3,28,23,0
Samuell,WILLIAMSON,Rockwell,TX,Rockwell HS,19,2,79,190,Louisville,1,10,0,-1,4,59,59,53,53,52,52,21,21,24,43,43,14,14,39,39,51,51,40,40,39,39,40,40,23,23,51,62,64,49,66,40,6,12,199,28,60,8,12,3,13,12,30,8,2,3,14,21,0
Steven,ENOCH,Norwalk,CT,St. Thomas More HS,22,5,82,260,Louisville,4,23,-1,-1,1,70,70,63,63,61,61,24,24,22,47,47,11,11,77,77,94,94,67,67,13,13,31,31,69,69,43,44,47,87,64,38,5,12,261,54,95,21,29,4,15,22,65,5,2,12,15,24,0
Aidan,IGIEHON,Dublin,Ireland,Lawrence Woodmere Academy,19,4,82,230,Louisville,1,22,0,-1,2,68,68,12,12,0,0,0,0,0,42,42,5,5,46,46,66,66,53,53,14,14,34,34,53,53,39,38,52,66,25,33,6,11,59,5,8,1,6,0,0,2,15,0,0,2,4,12,0
David,JOHNSON,Lousiville,KY,Trinity HS,18,3,77,210,Louisville,1,13,0,-1,5,67,67,51,51,0,0,21,21,28,55,55,16,16,19,19,35,35,31,31,31,31,41,41,17,17,48,69,54,41,50,44,6,8,59,11,18,2,5,2,5,2,8,4,0,1,5,9,0
Josh,NICKELBERRY,Fayetteville,NC,Northwood Temple Academy,18,3,76,195,Louisville,1,20,0,-1,4,55,55,6,6,0,0,8,8,51,50,50,5,5,16,16,25,25,28,28,41,41,39,39,12,12,85,60,59,40,50,55,6,10,50,1,8,6,6,1,6,1,2,1,0,0,1,2,0
Jae'lyn,WITHERS,Charlotte,NC,Cleveland Heights HS,18,3,80,215,Louisville,1,3,0,-1,3,38,38,30,30,35,35,28,28,34,23,23,23,23,28,28,32,32,34,34,26,26,22,22,36,36,35,40,50,50,60,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killian,TILLIE,Cagnes-sur-Mer,France,INSEP Academy,21,3,82,220,Gonzaga,4,33,0,-1,2,63,63,63,63,55,55,61,61,60,55,55,27,27,55,55,66,66,54,54,49,49,58,58,48,48,40,47,52,65,66,43,6,9,203,38,81,13,19,14,38,11,30,18,11,4,6,20,0
Drew,TIMME,Richardson,TX,Pearce HS,19,3,82,235,Gonzaga,1,2,0,-1,2,72,72,46,46,41,41,16,16,9,44,44,21,21,82,82,65,65,50,50,33,33,49,49,54,54,22,46,61,67,85,31,6,14,296,52,93,30,51,1,1,31,43,17,11,9,19,39,0
Anton,WATSON,Spokane,WA,Gonzaga Prep,19,3,80,220,Gonzaga,1,22,0,-1,3,52,52,53,53,44,44,7,7,15,48,48,23,23,51,51,54,54,45,45,58,58,64,64,39,39,45,54,62,58,64,42,6,10,161,21,38,11,18,1,7,11,21,18,12,4,9,18,0
Pavel,ZAKHAROV,Sor-Varanger,Norway,Montverde Academy,18,4,83,235,Gonzaga,1,10,0,-1,2,57,57,50,50,49,49,16,16,19,46,46,3,3,42,42,47,47,53,53,31,31,36,36,45,45,72,43,51,65,25,48,6,9,47,8,11,9,14,1,2,2,8,1,1,2,4,4,0
Oumar,BALLO,Koulikoro,Mali,Canterbury Academy,17,5,82,260,Gonzaga,1,21,0,-1,1,32,32,22,22,25,25,0,0,0,20,20,20,20,34,34,40,40,38,38,22,22,15,15,42,42,30,38,33,55,55,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martynas,ARLAUSKAS,Kaunas,Lithuania,President Valdas Adamkus,19,2,78,200,Gonzaga,1,5,0,-1,4,62,62,21,21,0,0,8,8,31,49,49,11,11,21,21,36,36,34,34,50,50,48,48,21,21,73,60,63,45,50,51,5,10,68,6,14,4,4,1,6,2,8,3,2,1,2,4,0
Filip,PETRUSEV,Belgrade,Serbia,Montverde Academy,19,2,83,225,Gonzaga,2,3,0,-1,2,74,74,46,46,56,56,6,6,6,40,40,18,18,75,75,71,71,61,61,36,36,41,41,62,62,61,50,68,68,95,44,0,14,372,84,156,65,94,1,9,39,75,14,10,20,31,23,4
Scottie,LEWIS,Hazlet,NJ,Ranney School,19,2,77,185,Florida,1,23,0,-1,4,54,54,47,47,55,55,26,26,31,48,48,13,13,33,33,47,47,51,51,72,72,64,64,61,61,71,61,77,47,100,50,6,11,318,30,74,24,35,5,21,12,34,5,18,16,12,17,0
Andrew,NEMBHARD,Aurora,Canada,Montverde Academy,19,2,77,191,Florida,2,2,0,-1,5,45,45,54,54,70,70,53,53,52,60,60,43,43,7,7,40,40,29,29,53,53,48,48,3,3,76,67,47,41,100,63,6,11,380,38,99,19,24,13,40,1,34,58,11,0,28,17,0
Tre,MANN,Gainesville,FL,The Villages HS,18,2,76,172,Florida,1,1,0,-1,5,64,64,40,40,46,46,26,26,38,59,59,15,15,15,15,39,39,25,25,49,49,54,54,11,11,34,72,53,39,70,40,6,9,157,19,54,10,16,5,22,2,16,5,7,1,8,23,0
Omar,PAYNE,Kissimmee,FL,Montverde Academy,19,3,82,223,Florida,1,5,0,-1,2,65,65,41,41,12,12,0,0,0,46,46,10,10,82,82,65,65,49,49,12,12,31,31,66,66,26,41,54,66,51,31,6,11,139,18,28,5,13,0,0,17,22,3,0,9,7,26,0
Jalen,SMITH,Baltimore,MD,Mount St. Joseph HS,19,2,82,215,Maryland,2,25,0,-1,2,64,64,58,58,65,65,32,32,30,43,43,18,18,100,100,87,87,68,68,37,37,48,48,78,78,40,47,74,74,100,37,6,12,339,53,109,46,61,7,25,46,75,12,11,29,24,32,0
Aaron,WIGGINS,Greensboro,NC,Wesleyan Christian Academy,21,2,78,200,Maryland,2,2,0,-1,4,42,42,57,57,61,61,62,62,64,46,46,22,22,37,37,63,63,55,55,62,62,55,55,40,40,70,63,71,56,100,51,6,12,364,44,128,21,29,20,68,16,56,17,15,9,20,20,0
Makhi,MITCHELL,Washington,DC,Woodrow Wilson HS,19,3,82,235,Maryland,1,21,0,-1,2,53,53,29,29,35,35,0,0,0,42,42,9,9,60,60,72,72,59,59,19,19,39,39,68,68,26,41,63,70,37,29,0,12,111,12,34,12,22,0,0,10,29,2,2,8,8,19,0
Chol,MARIAL,Rumbek,South Sudan,AZ Compass Prep,20,3,86,230,Maryland,1,15,0,-1,1,36,36,32,32,0,0,19,19,35,38,38,8,8,33,33,39,39,40,40,11,11,23,23,47,47,56,32,36,61,62,47,5,4,62,12,23,2,2,3,8,3,12,2,1,10,4,3,0
Donta,SCOTT,Philadelphia,PA,Imhotep Charter HS,19,3,79,225,Maryland,1,0,0,-1,3,43,43,42,42,0,0,36,36,49,51,51,12,12,62,62,53,53,43,43,46,46,48,48,25,25,49,52,52,58,68,42,5,12,205,21,51,4,7,8,25,16,23,4,6,2,4,18,0
Makhel,MITCHELL,Washington,DC,Woodrow Wilson HS,19,3,82,235,Maryland,1,22,0,-1,2,59,59,21,21,0,0,0,0,0,47,47,8,8,63,63,63,63,56,56,26,26,43,43,59,59,44,37,50,66,27,38,5,10,68,4,8,2,4,0,0,8,15,2,2,4,3,9,0
Anthony,COWAN,Bowie,MD,St. John's College HS,22,2,72,170,Maryland,4,1,0,-1,5,42,42,68,68,63,63,77,77,68,57,57,38,38,14,14,43,43,31,31,66,66,57,57,14,14,71,86,72,41,97,59,4,12,395,59,145,55,74,25,68,5,39,50,17,3,30,21,0
D.J.,CARTON,Bettendorf,IA,Bettendorf HS,19,3,74,190,Ohio State,1,3,0,-1,5,48,48,66,66,60,60,61,61,55,51,51,34,34,18,18,45,45,33,33,53,53,49,49,18,18,57,82,61,43,91,50,6,12,272,46,86,26,36,13,34,5,30,35,8,3,26,21,0
E.J.,LIDDELL,Belleville,IL,Belleville West HS,19,3,78,236,Ohio State,1,32,0,-1,2,64,64,58,58,64,64,13,13,20,48,48,15,15,55,55,76,76,63,63,40,40,51,51,73,73,42,47,72,72,67,39,6,12,201,34,66,27,36,2,14,11,38,7,8,15,8,19,0
Alonzo,GAFFNEY,Cleveland,OH,Brewster Academy,19,2,81,198,Ohio State,1,0,0,-1,3,50,50,42,42,0,0,9,9,21,40,40,8,8,41,41,59,59,40,40,24,24,37,37,27,27,44,54,57,57,41,35,6,9,92,12,22,3,8,1,6,5,18,2,0,1,10,17,0
Kaleb,WESSON,Westerville,OH,Westerville South HS,20,4,81,270,Ohio State,3,34,0,-1,2,57,57,69,69,70,70,75,75,60,40,40,30,30,67,67,100,100,72,72,16,16,32,32,70,70,32,48,72,89,82,35,5,12,305,49,107,53,67,18,39,23,84,25,3,18,29,33,0
Nico,MANNION,Siena,Italy,Pinnacle HS,18,3,75,190,Arizona,1,1,0,-1,5,43,43,69,69,77,77,72,72,62,58,58,52,52,11,11,29,29,22,22,60,60,54,54,3,3,64,82,54,35,100,59,6,13,396,64,149,42,50,22,63,3,22,81,15,0,31,25,0
Josh,GREEN,Sydney,Australia,IMG Academy,19,3,78,210,Arizona,1,0,0,-1,4,51,51,59,59,71,71,53,53,45,49,49,30,30,32,32,55,55,40,40,69,69,64,64,16,16,60,65,69,54,100,50,6,13,396,56,132,43,54,13,40,14,52,31,22,3,19,28,0
Zeke,NNAJI,Lakeville,MN,Hopkins HS,18,4,83,240,Arizona,1,22,0,-1,2,82,82,66,66,72,72,8,8,7,40,40,17,17,80,80,74,74,61,61,21,21,35,35,60,60,33,49,70,73,100,33,6,13,369,78,112,58,72,1,6,36,66,12,5,15,33,39,0
Jahmi'us,RAMSEY,Arlington,TX,Duncanville HS,18,3,76,195,Texas Tech,1,3,0,-1,4,54,54,64,64,48,48,71,71,59,43,43,16,16,39,39,50,50,40,40,65,65,58,58,28,28,69,71,69,49,100,48,6,7,197,45,91,14,22,15,35,12,28,10,11,4,13,12,0
Terrence,SHANNON JR.,Chicago,IL,Lincoln Park HS,18,3,78,210,Texas Tech,1,1,0,0,4,58,58,59,59,79,79,25,25,27,44,44,19,19,36,36,50,50,42,42,54,54,51,51,28,28,53,66,85,51,100,43,6,11,292,43,100,47,55,5,23,13,36,14,10,5,18,25,0
Tyreek,SMITH,Baton Rouge,LA,Trinity Catholic HS,19,3,79,215,Texas Tech,1,10,0,-1,2,38,38,30,30,31,31,0,0,0,22,22,11,11,40,40,29,29,39,39,16,16,17,17,40,40,59,42,49,52,60,47,5,8,229,60,89,11,20,0,0,36,51,5,5,22,16,10,0
Davide,MORETTI,Bologna,Italy,Treviso Basket,21,3,74,175,Texas Tech,3,25,0,-1,5,36,36,80,80,97,97,79,79,76,57,57,28,28,8,8,24,24,18,18,55,55,50,50,3,3,59,81,54,32,100,52,5,11,350,43,110,42,43,24,64,1,14,23,11,0,26,25,0
James,WISEMAN,Nashville,TN,East HS,18,4,85,240,Memphis,1,32,0,-1,1,73,83,47,52,58,61,0,0,2,48,48,6,6,98,100,81,86,68,73,19,19,35,35,78,83,60,44,63,79,92,44,0,3,69,20,26,19,27,0,1,13,19,1,1,9,3,5,0
Precious,ACHIUWA,Bronx,NY,Montverde Academy,20,3,81,225,Memphis,1,55,0,-1,2,73,73,41,41,37,37,15,15,11,38,38,16,16,86,86,96,96,70,70,44,44,52,52,67,67,45,48,72,80,100,36,6,11,301,57,119,37,66,2,7,32,75,9,12,16,28,26,0
Boogie,ELLIS,San Diego,CA,Mission Bay HS,19,2,75,165,Memphis,1,5,0,-1,5,56,56,48,48,45,45,54,54,57,61,61,23,23,17,17,39,39,25,25,73,73,71,71,9,9,48,76,56,38,93,48,6,11,255,30,88,19,31,14,42,4,22,14,21,1,13,24,0
D.J.,JEFFRIES,Olive Branch,MS,Olive Branch HS,20,3,79,225,Memphis,1,0,0,-1,3,51,51,63,63,59,59,40,40,31,45,45,18,18,43,43,58,58,50,50,48,48,54,54,57,57,44,59,64,60,100,39,6,11,290,55,101,15,21,7,18,13,38,13,12,13,16,28,0
Lester,QUINONES,Brentwood,NY,IMG Academy,19,3,77,220,Memphis,1,11,0,-1,4,57,57,57,57,90,90,30,30,47,43,43,25,25,33,33,39,39,31,31,49,49,47,47,10,10,64,64,63,47,99,48,6,6,149,21,48,14,15,6,25,7,14,18,4,0,13,11,0
Damion,BAUGH,Nashville,TN,Tennessee Prep Academy,19,3,75,180,Memphis,1,10,0,-1,5,58,58,47,47,54,54,26,26,25,43,43,39,39,38,38,45,45,31,31,53,53,59,59,25,25,28,69,62,42,83,36,6,11,229,19,43,17,25,4,8,12,25,37,11,4,34,30,0
Malcolm,DANDRIDGE,Memphis,TN,East HS,19,4,81,250,Memphis,1,23,0,-1,1,63,63,0,0,0,0,0,0,0,48,48,4,4,56,56,73,73,53,53,26,26,48,48,63,63,39,35,44,76,53,36,5,5,66,5,5,3,6,0,0,2,14,0,4,2,3,14,0
Sam,MERRILL,Bountiful,UT,Bountiful HS,23,3,77,210,Utah State,4,5,0,-1,4,43,43,72,72,80,80,80,80,74,54,54,39,39,10,10,54,54,33,33,35,35,35,35,7,7,56,65,65,52,100,52,4,13,441,69,163,61,71,31,69,4,65,50,10,1,19,33,4
Justin,BEAN,Moore,OK,Southmoore HS,19,3,79,210,Utah State,2,34,0,-1,2,65,65,56,56,73,73,6,6,6,49,49,33,33,85,85,79,79,60,60,51,51,48,48,48,48,59,45,52,69,100,50,5,14,425,75,144,43,53,1,7,60,98,33,20,14,22,28,4
Neemias,QUETA,Barreiro,Portugal,SL Benfica,20,2,83,225,Utah State,2,23,0,-1,1,53,53,61,61,76,76,0,0,0,46,46,14,14,63,63,59,59,46,46,13,13,25,25,61,61,57,37,48,64,64,44,5,4,72,10,17,15,18,0,0,7,13,6,0,3,8,6,0
Jared,BUTLER,Reserce,LA,Riverside Academy,19,3,75,185,Baylor,2,12,0,-1,4,49,49,76,76,86,86,79,79,81,43,43,30,30,14,14,32,32,23,23,58,58,52,52,10,10,58,69,59,40,100,46,5,10,293,59,127,28,31,30,71,3,23,33,17,1,22,22,0
MaCio,TEAGUE,Cincinnati,OH,Walnut Hills HS,22,3,75,190,Baylor,3,31,-1,-1,4,41,41,67,67,76,76,65,65,76,48,48,31,31,29,29,42,42,29,29,46,46,41,41,8,8,86,64,60,45,99,60,5,10,306,46,110,30,36,23,66,12,35,26,10,1,17,9,0
Jordan,TURNER,Houston,TX,Sunrise Christian Academy,18,2,79,180,Baylor,1,5,0,-1,4,53,53,50,50,63,63,33,33,52,40,40,12,12,29,29,35,35,29,29,30,30,27,27,21,21,86,56,65,40,99,53,5,4,99,16,29,22,27,5,13,9,19,6,1,3,12,1,0
Trendon,WATFORD,Birmingham,AL,Mountain Brook HS,19,3,81,230,Louisiana State,1,2,0,-1,2,67,67,50,50,38,38,36,36,30,39,39,23,23,58,58,63,63,59,59,36,36,41,41,51,51,53,46,60,66,100,41,6,11,321,53,105,29,51,7,21,20,45,17,7,8,32,24,0
James,BISHOP,Baltimore,MD,Mount St. Joseph's HS,19,2,74,170,Louisiana State,1,10,0,-1,5,61,61,42,42,35,35,34,34,48,52,52,14,14,13,13,23,23,22,22,52,52,48,48,13,13,64,74,53,31,50,49,5,11,100,13,28,6,11,5,14,1,2,5,3,1,10,9,0
Skylar,MAYS,Baton Rouge,LA,LSU Laboratory School,22,3,76,200,Louisiana State,4,4,0,-1,4,50,50,71,71,80,80,63,63,54,45,45,31,31,19,19,54,54,42,42,73,73,67,67,21,21,82,69,69,52,98,57,4,11,368,62,121,37,43,17,44,6,47,31,24,4,25,13,0
Emmitt,WILLIAMS,Fort Myers,FL,Oak Ridge HS,21,3,78,225,Louisiana State,2,5,0,0,2,77,77,71,71,72,72,25,25,18,41,41,21,21,83,83,73,73,58,58,40,40,49,49,63,63,44,49,57,69,99,38,5,11,305,63,93,29,36,4,9,31,53,14,11,14,26,27,0
Ja'vonte,SMART,Baton Rouge,LA,Scotlandville Magnet HS,20,3,76,200,Louisiana State,2,1,0,-1,5,59,59,51,51,71,71,44,44,50,51,51,45,45,20,20,42,42,29,29,67,67,60,60,7,7,60,70,50,43,100,53,0,11,342,39,108,20,25,13,49,7,32,56,17,1,35,24,0
