SCHOOL NAME,MASCOT,ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE,HOME STATE,PIPELINE STATES (separated by .);
Redmond,Panthers,CVILLE, Division 6, C52828, 000000, 60,OR,OR;
Ridgeview,Ravens,CLARE, Division 6, 00F0FF, D3D3D3, 70,OR,OR;
Summit,Storm,COWETA, Division 6, FF0000, FFFFFF, 95,OR,OR;
La Grande,Tigers,GLEN, Division 6, F8FF28, 000000, 25,OR,OR;
Ontario,Tigers,GROVE, Division 6, B33FFF, ECECEC, 65,OR,OR;
Astoria,Fishermen,SKIA, Division 6, FF0000, 000000, 65,OR,OR;
Scappoose,Indians,PRYOR, Division 6, 00FFFB, 006CFF, 40,OR,OR;
Seaside,Seagulls,WELL, Division 6, 003783, DED48D, 15,OR,OR;
St. Helens,Lions,ROLAND, Division 6, 8C1515, 2E2D29, 70,OR,OR;
Tillamook,Cheesemakers,CHECO, Division 6, 028BB0, E8FF00, 65,OR,OR;
Catlin Gabel,Eagles,CATLIN, Division 6, 00307E, E1F918, 55,OR,OR;
De La Salle North Catholic,Knights,DLSNC, Division 6, FF8B00, 000000, 55,OR,OR;
Horizon Christian ,Hawks,HORCH, Division 6, 7000E7, D6D41D, 25,OR,OR;
Oregon Episcopal ,Aardvarks,OES, Division 6, B00C0C, 000000, 80,OR,OR;
Portland Adventist,Cougars,PDXAD, Division 6, B00C0C, B0A90C, 60,OR,OR;
Valley Catholic,Valiants,VALCAT, Division 7, 0C3EB0, 001B58, 80,OR,OR;
Westside Christian,Eagles,WSDC, Division 7, 0845CD, FF7000, 50,OR,OR;
Banks,Braves,MAHS, Division 7, FF0000, 0027FF, 70,OR,OR;
Corbett,Cardinals,ELGIN, Division 7, FF0000, FFCD00, 60,OR,OR;
Neah-Kah-Nie,Pirates,CACHE, Division 7, FF0000, 008FFF, 30,OR,OR;
Rainier,Columbians,ADARKO, Division 7, 4485FF, FFFFFF, 80,OR,OR;
Riverdale,Mavericks,ALTUS, Division 7, 4485FF, D9DF16, 55,OR,OR;
Warrenton,Warriors,KHS, Division 7, 1628DF, F7FF00, 80,OR,OR;
Yamhill-Carlton,Tigers,TUTTLE, Division 7, 0042FF, FFCD00, 60,OR,OR;
Amity,Warriors,AMITY, Division 7, 8F0000, 01195E, 80,OR,OR;
Dayton,Pirates,DAYT, Division 7, 000000, ACAA42, 95,OR,OR;
Jefferson,Lions,JEFFS, Division 7, A823FE, D4D4D4, 50,OR,OR;
Santiam Christian,Eagles,SANT, Division 7, FA0404, 047E2B, 75,OR,OR;
Scio,Loggers,SCIO, Division 7, 0042FF, 08FF9E, 60,OR,OR;
Sheridan,Spartans,SHERD, Division 7, 2852FF, FFFC28, 75,OR,OR;
Taft,Tigers,TAFT, Division 7, 0059FF, FF0000, 95,OR,OR;
Creswell,Bulldogs,CRES, Division 8, 006423, 606060, 50,OR,OR;
Elmira,Falcons,ELMI, Division 8, FFF000, 029320, 85,OR,OR;
Harrisburg,Eagles,HRSB, Division 8, 740000, FFFFFF, 15,OR,OR;
La Pine,Hawks,LAPN, Division 8, 002976, F5FD00, 25,OR,OR;
Pleasant Hill,Billies,PHHS, Division 8, AC0000, FEEE00, 80,OR,OR;
Sisters,Outlaws,SISTS, Division 8, 05006D, C4C4C4, 75,OR,OR;
Siuslaw,Vikings,SIUSL, Division 8, 000000, A49F4A, 70,OR,OR;
Brookings–Harbor, Bruins,SULPH, Division 8, 0068FF, FF0000, 60,OR,OR;
Cascade Christian,Challengers,BYU, Division 8, FFD100, 1D16FC, 65,OR,OR;
Coquille, Red Devils,MADILL, Division 8, FF0000, 002BFF, 50,OR,OR;
Douglas,Trojans,LGHS, Division 8, 8700FF, BAB8BB, 85,OR,OR;
Glide,Wildcats,VIEW, Division 8, 070062, F9FC00, 55,OR,OR;
Lakeview,Honkers,TISH, Division 8, 000D5D, B8BB4B, 50,OR,OR;
North Valley,Knights,DHS, Division 8, CB1616, 000000, 55,OR,OR;
Rogue River,Chieftains,BYNG, Division 8, 7500D6, A79A35, 75,OR,OR;
South Umpqua,Lancers,MARIE, Division 8, FF0000, FFD100, 85,OR,OR;
