 351,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15
36,Cal Poly,Mustangs,48,POLY ,calpoly,San Luis Obispo,CA,11,1,#004231,0,35.27,-120.66,1
37,Cal State Bakersfield,Roadrunners,31,CSB  ,calbakersfield,Bakersfield,CA,32,1,#004A84,257,35.37,-119.02,1
38,Cal State Fullerton,Titans,28,CSF  ,calstatefullerton,Fullerton,CA,11,1,#004A7B,0,33.88,-117.93,1
39,Cal State Northridge,Matadors,31,CSN  ,calstatenorthridge,Northridge,CA,11,1,#B50000,0,34.23,-118.54,1
40,California,Golden Bears,69,CAL  ,california,Berkeley,CA,23,1,#002942,278,37.87,-122.27,1
41,Campbell,Fighting Camels,21,CAMP ,campbell,Buies Creek,NC,9,1,#FF7F00,146,35.41,-78.74,1
42,Canisius,Golden Griffins,52,CAN  ,canisius,Buffalo,NY,16,1,#002649,0,42.9,-78.85,1
43,Central Arkansas,Bears,10,UCA  ,centralarkansas,Conway,AR,27,1,#4D2585,0,35.09,-92.44,1
44,Central Connecticut,Blue Devils,18,CCSU ,centralconnecticut,New Britain,CT,21,1,#1E489C,0,41.67,-72.78,1
45,Central Michigan,Chippewas,45,CMU  ,centralmichigan,Mount Pleasant,MI,17,2,#7B0000,0,43.6,-84.77,1
46,Charleston Southern,Buccaneers,41,CH SO,charlestonsouthern,Charleston,SC,9,1,#2E3192,53,32.79,-79.99,1
47,Charlotte,49ers,50,CHAR ,charlotte,Charlotte,NC,13,1,#0C562D,219,35.21,-80.83,1
48,Chattanooga,Mocs,37,CHAT ,chattanooga,Chattanooga,TN,26,1,#253B81,0,35.05,-85.27,1
49,Chicago State,Cougars,15,CHIST,chicagostate,Chicago,IL,32,1,#006700,311,41.84,-87.68,1
50,Cincinnati,Bearcats,83,CINCI,cincinnati,Cincinnati,OH,2,1,#252525,0,39.14,-84.5,1
51,Clemson,Tigers,70,CLEM ,clemson,Clemson,SC,4,1,#F35B0F,0,34.68,-82.81,1
52,Cleveland State,Vikings,63,CLEV ,clevelandstate,Cleveland,OH,14,1,#116644,351,41.48,-81.67,1
53,Coastal Carolina,Chanticleers,47,C CAR,coastalcarolina,Conway,SC,30,1,#59A0A0,46,33.84,-79.06,1
54,Colgate,Raiders,39,COLG ,colgate,Hamilton,NY,24,1,#910028,0,42.83,-75.54,1
55,College of Charleston,Cougars,36,COFC ,collegeofcharleston,Charleston,SC,12,1,#9E8249,0,32.79,-79.99,1
56,Colorado,Buffaloes,68,COLO ,colorado,Boulder,CO,23,1,#000200,319,40.02,-105.26,1
57,Colorado State,Rams,67,CSU  ,coloradostate,Fort Collins,CO,20,1,#076D54,0,40.56,-105.08,1
58,Columbia,Lions,48,COLUM,columbia,New York,NY,15,1,#80BEE8,61,40.7,-73.92,1
59,Connecticut,Huskies,79,UCONN,connecticut,Storrs,CT,2,1,#091D5A,0,41.81,-72.26,1
60,Coppin State,Eagles,17,COPP ,coppinstate,Baltimore,MD,18,1,#2E3192,0,39.31,-76.62,1
61,Cornell,Big Red,32,CORN ,cornell,Ithaca,NY,15,1,#D60027,58,42.44,-76.5,1
62,Creighton,Bluejays,75,CREIG,creighton,Omaha,NE,7,1,#13299E,0,41.26,-96.01,1
63,Dartmouth,Big Green,38,DART ,dartmouth,Hanover,NH,15,1,#005730,108,43.7,-72.28,1
64,Davidson,Wildcats,72,DAV  ,davidson,Davidson,NC,3,1,#E71A39,0,35.49,-80.83,1
65,Dayton,Flyers,79,DAY  ,dayton,Dayton,OH,3,1,#E50B0D,0,39.76,-84.2,1
66,Delaware,Blue Hens,43,DEL  ,delaware,Newark,DE,12,1,#0068A9,0,39.68,-75.76,1
67,Delaware State,Hornets,25,DELST,delawarestate,Dover,DE,18,1,#FF3630,0,39.16,-75.53,1
68,Denver,Pioneers,49,DEN  ,denver,Denver,CO,29,1,#9C143D,0,39.73,-104.97,1
69,DePaul,Blue Demons,47,DEP  ,depaul,Chicago,IL,7,1,#2D649C,0,41.84,-87.68,1
70,Detroit,Titans,48,UDM  ,detroit,Detroit,MI,14,1,#165B9E,214,42.39,-83.1,1
71,Drake,Bulldogs,39,DRAKE,drake,Des Moines,IA,19,1,#0D1361,0,41.59,-93.62,1
72,Drexel,Dragons,45,DREX ,drexel,Philadelphia,PA,12,1,#020260,0,40,-75.14,1
73,Duke,Blue Devils,93,DUKE ,duke,Durham,NC,4,1,#00519B,0,35.99,-78.91,1
74,Duquesne,Dukes,45,DUQ  ,duquesne,Pittsburgh,PA,3,1,#283A61,0,40.44,-79.98,1
75,East Carolina,Pirates,40,ECU  ,eastcarolina,Greenville,NC,2,1,#4B1869,0,35.6,-77.37,1
76,East Tennessee State,Buccaneers,36,ETSU ,easttennesseestate,Johnson City,TN,26,1,#00378A,0,36.34,-82.37,1
77,Eastern Illinois,Panthers,31,EIU  ,easternillinois,Charleston,IL,22,2,#003399,0,39.49,-88.18,1
78,Eastern Kentucky,Colonels,56,EKU  ,easternkentucky,Richmond,KY,22,1,#75263D,0,37.74,-84.29,1
79,Eastern Michigan,Eagles,48,EMU  ,easternmichigan,Ypsilanti,MI,17,2,#385242,0,42.24,-83.62,1
80,Eastern Washington,Eagles,43,EWU  ,easternwashington,Cheney,WA,8,1,#D72D35,116,47.49,-117.58,1
81,Elon,Phoenix,33,ELON ,elon,Elon,NC,12,1,#020303,0,36.1,-79.51,1
82,Evansville,Aces,56,EVANS,evansville,Evansville,IN,19,1,#663399,0,37.98,-87.55,1
83,Fairfield,Stags,33,FAIR ,fairfield,Fairfield,CT,16,1,#D82D39,0,41.18,-73.28,1
84,Fairleigh Dickinson,Knights,17,FDU  ,fairleighdickinson,Teaneck,NJ,21,1,#AB2941,0,40.89,-74.01,1
85,FIU,Golden Panthers,32,FIU  ,floridainternational,Miami,FL,13,1,#002D62,88,25.79,-80.22,1
86,Florida,Gators,86,UF   ,florida,Gainesville,FL,25,1,#2A42CE,0,29.67,-82.34,1
87,Florida A&M,Rattlers,10,FAMU ,floridaam,Tallahassee,FL,18,1,#FF7329,0,30.45,-84.27,1
88,Florida Atlantic,Owls,28,FAU  ,floridaatlantic,Boca Raton,FL,13,1,#00386B,85,26.37,-80.1,1
89,Florida Gulf Coast,Eagles,45,FGCU ,floridagulfcoast,Fort Myers,FL,5,1,#1D5083,280,26.64,-81.87,1
90,Florida State,Seminoles,70,FSU  ,floridastate,Tallahassee,FL,4,1,#B72931,0,30.45,-84.27,1
91,Fordham,Rams,37,FORD ,fordham,New York,NY,3,1,#A50019,0,40.7,-73.92,1
92,Fresno State,Bulldogs,49,FRES ,fresnostate,Fresno,CA,20,1,#D81C3F,0,36.78,-119.79,1
93,Furman,Paladins,18,FUR  ,furman,Greenville,SC,26,1,#4A2184,0,34.84,-82.39,1
94,Gardner Webb,Runnin' Bulldogs,38,GWEBB,gardnerwebb,Boiling Springs,NC,9,1,#CF0000,312,35.25,-81.66,1
95,George Mason,Patriots,48,GMU  ,georgemason,Fairfax,VA,3,1,#016600,0,38.85,-77.3,1
96,George Washington,Colonials,69,GWU  ,georgewashington,Washington,DC,3,1,#002843,0,38.91,-77.01,1
97,Georgetown,Hoyas,84,GTOWN,georgetown,Washington,DC,7,1,#4B4B7C,0,38.91,-77.01,1
98,Georgia,Bulldogs,75,UGA  ,georgia,Athens,GA,25,1,#D60022,0,33.96,-83.38,1
99,Georgia Southern,Eagles,39,GA SO,georgiasouthern,Statesboro,GA,30,1,#0A3861,0,32.45,-81.78,1
100,Georgia State,Panthers,68,GA ST,georgiastate,Atlanta,GA,30,1,#015DAB,0,33.76,-84.4,1
101,Georgia Tech,Yellow Jackets,64,GT   ,georgiatech,Atlanta,GA,4,1,#CFB53B,0,33.76,-84.4,1
102,Gonzaga,Bulldogs,91,GONZ ,gonzaga,Spokane,WA,31,1,#002967,228,47.67,-117.41,1
103,Grambling State,Tigers,3,GRAMB,grambling,Grambling,LA,28,1,#EE8601,129,32.53,-92.71,1
104,Grand Canyon,Antelopes,22,GCU  ,grandcanyon,Phoenix,AZ,32,1,#492F92,321,33.48,-112.14,1
105,Green Bay,Phoenix,68,UWGB ,greenbay,Green Bay,WI,14,1,#006633,171,44.51,-88.02,1
106,Hampton,Pirates,33,HAMP ,hampton,Hampton,VA,5,1,#2E3192,0,37.03,-76.36,1
107,Hartford,Hawks,27,HART ,hartford,West Hartford,CT,1,1,#D60008,0,41.76,-72.74,1
108,Harvard,Crimson,74,HARV ,harvard,Boston,MA,15,1,#990000,63,42.32,-71.09,1
109,Hawaii,Warriors,52,HAW  ,hawaii,Honolulu,HI,11,1,#004231,0,21.31,-157.83,1
110,High Point,Panthers,45,HP   ,highpoint,High Point,NC,9,1,#263996,236,35.97,-80,1
111,Hofstra,Pride,44,HOF  ,hofstra,Hempstead,NY,12,1,#27297C,0,40.7,-73.62,1
112,Holy Cross,Crusaders,38,HC   ,holycross,Worcester,MA,24,1,#0A0A0A,0,42.27,-71.8,1
113,Houston,Cougars,45,HOU  ,houston,Houston,TX,2,1,#E73139,0,29.76,-95.38,1
114,Houston Baptist,Huskies,15,HBU  ,houstonbaptist,Houston,TX,27,1,#CE4122,0,29.76,-95.36,1
115,Howard,Bison,21,HOW  ,howard,Washington,DC,18,1,#9E0B0E,0,38.91,-77.01,1
116,Idaho,Vandals,37,IDAHO,idaho,Moscow,ID,8,1,#CEBE70,80,46.73,-117,1
117,Idaho State,Bengals,21,ID ST,idahostate,Pocatello,ID,8,1,#EF8C00,336,42.88,-112.45,1
118,Illinois,Fighting Illini,76,ILL  ,illinois,Champaign,IL,10,1,#F77329,0,40.11,-88.26,1
119,Illinois Chicago,Flames,30,UIC  ,illinoischicago,Chicago,IL,14,1,#234077,324,41.84,-87.68,1
120,Illinois State,Redbirds,69,IL ST,illinoisstate,Normal,IL,19,1,#D72D35,0,40.51,-88.99,1
121,Incarnate Word,Cardinals,26,UIW  ,incarnateword,San Antonio,TX,27,1,#C7020C,0,29.47,-98.47,1
122,Indiana,Hoosiers,78,IND  ,indiana,Bloomington,IN,10,1,#DE3129,0,39.16,-86.53,1
123,Indiana State,Sycamores,55,IN ST,indianastate,Terre Haute,IN,19,1,#00669A,0,39.47,-87.39,1
124,Iona,Gaels,67,IONA ,iona,New Rochelle,NY,16,1,#8C001A,0,40.93,-73.78,1
125,Iowa,Hawkeyes,84,IOWA ,iowa,Iowa City,IA,10,1,#232323,0,41.66,-91.52,1
126,Iowa State,Cyclones,86,IA ST,iowastate,Ames,IA,6,1,#BA0A2B,0,42.03,-93.63,1
127,IPFW,Mastodons,45,IPFW ,ipfw,Fort Wayne,IN,29,1,#00378A,0,41.08,-85.13,1
128,IUPUI,Jaguars,23,IUPUI,indianapurdue,Indianapolis,IN,14,1,#CA3A44,339,39.79,-86.15,1
129,Jackson State,Tigers,18,JSU  ,jacksonstate,Jackson,MS,28,1,#123297,103,32.32,-90.2,1
130,Jacksonville,Dolphins,20,JAX  ,jacksonville,Jacksonville,FL,5,1,#008568,203,30.32,-81.66,1
131,Jacksonville State,Gamecocks,24,JX ST,jacksonvillestate,Jacksonville,AL,22,1,#C61018,0,33.82,-85.76,1
132,James Madison,Dukes,39,JMU  ,jamesmadison,Harrisonburg,VA,12,1,#450084,0,38.44,-78.87,1
133,Kansas,Jayhawks,91,KAN  ,kansas,Lawrence,KS,6,1,#0337B4,0,38.96,-95.25,1
134,Kansas State,Wildcats,74,KSU  ,kansasstate,Manhattan,KS,6,1,#633194,0,39.19,-96.59,1
135,Kennesaw State,Owls,11,KENSW,kennstate,Kennesaw,GA,5,1,#FEBC11,317,34.02,-84.3,1
136,Kent State,Golden Flashes,57,KENT ,kentstate,Kent,OH,17,1,#212142,0,41.15,-81.36,1
137,Kentucky,Wildcats,92,KY   ,kentucky,Lexington,KY,25,1,#015DAB,0,38.03,-84.49,1
138,La Salle,Explorers,65,LAS  ,lasalle,Philadelphia,PA,3,1,#000063,0,40,-75.14,1
139,Lafayette,Leopards,41,LAF  ,lafayette,Easton,PA,24,1,#8C2633,0,40.69,-75.22,1
140,Lamar,Cardinals,24,LAMAR,lamar,Beaumont,TX,27,1,#EB0E19,0,30.08,-94.13,1
141,Lehigh,Mountain Hawks,44,LEH  ,lehigh,Bethlehem,PA,24,1,#884818,0,40.63,-75.38,1
142,Liberty,Flames,19,LIB  ,liberty,Lynchburg,VA,5,1,#000073,0,37.4,-79.17,1
143,Lipscomb,Bison,28,LPSCM,lipscomb,Nashville,TN,5,1,#331165,0,36.15,-86.76,1
144,LIU Brooklyn,Blackbirds,28,LIU  ,longisland,Brookville,NY,21,1,#02183E,0,40.82,-73.57,1
145,Long Beach State,49ers,55,LBSU ,longbeachstate,Long Beach,CA,11,1,#232323,0,33.8,-118.16,1
146,Longwood,Lancers,15,LONG ,longwood,Farmville,VA,9,1,#001F6B,41,37.3,-78.39,1
147,Louisiana Lafayette,Ragin' Cajuns,53,ULL  ,louisianalafayette,Lafayette,LA,30,1,#CE2842,0,30.21,-92.03,1
148,Louisiana Monroe,Warhawks,34,ULM  ,louisianamonroe,Monroe,LA,30,1,#800000,0,32.51,-92.09,1
149,Louisiana Tech,Bulldogs,70,LT   ,louisianatech,Ruston,LA,13,1,#3129E7,272,32.53,-92.64,1
150,Louisville,Cardinals,92,VILLE,louisville,Louisville,KY,4,1,#DE0018,0,38.23,-85.75,1
151,Loyola Chicago,Ramblers,47,LOYIL,loyolachicago,Chicago,IL,19,1,#9D1244,0,41.84,-87.68,1
152,Loyola Marymount,Lions,33,LMU  ,loyolamarymount,Los Angeles,CA,31,1,#880029,226,34.09,-118.38,1
153,Loyola MD,Greyhounds,29,LOYMD,loyolamaryland,Baltimore,MD,24,1,#3F8379,0,39.31,-76.62,1
154,LSU,Tigers,73,LSU  ,louisianastate,Baton Rouge,LA,25,1,#4E1E8A,0,30.46,-91.14,1
155,Maine,Black Bears,14,MAINE,maine,Orono,ME,1,1,#0099CC,0,44.89,-68.67,1
156,Manhattan,Jaspers,57,MANH ,manhattan,Riverdale,NY,16,1,#4F8537,0,40.9,-73.9,1
157,Marist,Red Foxes,28,MAR  ,marist,Poughkeepsie,NY,16,1,#E53730,0,41.7,-73.92,1
158,Marquette,Golden Eagles,70,MARQ ,marquette,Milwaukee,WI,7,1,#083963,0,43.05,-87.96,1
159,Marshall,Thundering Herd,35,MARSH,marshall,Huntington,WV,13,1,#186329,340,38.41,-82.43,1
160,Maryland,Terrapins,79,UMD  ,maryland,College Park,MD,10,1,#D60039,0,39,-76.93,1
161,Maryland Eastern Shore,Hawks,26,UMES ,marylandeastshore,Princess Anne,MD,18,1,#822433,0,38.2,-75.7,1
162,Massachusetts,Minutemen,63,UMASS,massachusetts,Amherst,MA,3,1,#AC0D1E,0,42.38,-72.52,1
163,McNeese State,Cowboys,23,MCNST,mcneesestate,Lake Charles,LA,27,1,#004E7F,0,30.21,-93.21,1
164,Memphis,Tigers,74,MEM  ,memphis,Memphis,TN,2,1,#29299C,0,35.12,-89.97,1
165,Mercer,Bears,53,MERC ,mercer,Macon,GA,26,1,#FF7F29,0,32.83,-83.65,1
166,Miami,Hurricanes,79,MIAMI,miami,Coral Gables,FL,4,1,#004325,0,25.73,-80.27,1
167,Miami OH,RedHawks,38,MI OH,miamiohio,Oxford,OH,17,1,#CE2229,0,39.51,-84.75,1
168,Michigan,Wolverines,80,MICH ,michigan,Ann Arbor,MI,10,1,#292942,0,42.27,-83.74,1
169,Michigan State,Spartans,90,MI ST,michiganstate,East Lansing,MI,10,1,#265142,0,42.74,-84.48,1
170,Middle Tennessee,Blue Raiders,61,MTU  ,middletennesseestate,Murfreesboro,TN,13,1,#0066A4,302,35.86,-86.39,1
171,Milwaukee,Golden Panthers,42,UWMIL,milwaukee,Milwaukee,WI,14,1,#FDBB30,105,43.05,-87.96,1
172,Minnesota,Golden Gophers,78,MINN ,minnesota,Minneapolis,MN,10,1,#752132,0,44.96,-93.27,1
173,Mississippi,Rebels,76,MISS ,mississippi,Oxford,MS,25,1,#101894,0,34.36,-89.53,1
174,Mississippi State,Bulldogs,45,MS ST,mississippistate,Starkville,MS,25,1,#531122,0,33.46,-88.82,1
175,Mississippi Valley State,Delta Devils,9,MVSU ,mississippivalleystate,Itta Bena,MS,28,1,#054105,15,33.5,-90.32,1
176,Missouri,Tigers,59,MIZZ ,missouri,Columbia,MO,25,1,#232323,0,38.95,-92.33,1
177,Missouri State,Bears,41,MO ST,missouristate,Springfield,MO,19,1,#50011A,0,37.2,-93.29,1
178,Monmouth,Hawks,34,MONM ,monmouth,West Long Branch,NJ,16,1,#0D217B,0,40.29,-74.02,1
179,Montana,Grizzlies,48,MONT ,montana,Missoula,MT,8,1,#63104A,180,46.86,-114.01,1
180,Montana State,Bobcats,18,MT ST,montanastate,Bozeman,MT,8,1,#013D7D,179,45.68,-111.05,1
181,Morehead State,Eagles,48,MORE ,moreheadstate,Morehead,KY,22,1,#29109C,0,38.18,-83.44,1
182,Morgan State,Bears,24,MORG ,morganstate,Baltimore,MD,18,1,#00337F,0,39.31,-76.62,1
183,Mount St. Mary's,Mountaineers,38,MSM  ,mtsaintmarys,Emmitsburg,MD,21,1,#003F87,0,39.7,-77.33,1
184,Murray State,Racers,70,MURR ,murraystate,Murray,KY,22,2,#182356,0,36.61,-88.32,1
185,Navy,Midshipmen,23,NAVY ,navy,Annapolis,MD,24,1,#0F1021,0,38.97,-76.5,1
186,Nebraska,Cornhuskers,63,NEB  ,nebraska,Lincoln,NE,10,1,#FE0D04,0,40.81,-96.68,1
187,Nebraska Omaha,Mavericks,29,UNO  ,uno,Omaha,NE,29,1,#EA0C2B,265,41.2,-96.19,1
188,Nevada,Wolf Pack,40,NEV  ,nevada,Reno,NV,20,1,#084A73,0,39.53,-119.82,1
189,New Hampshire,Wildcats,31,UNH  ,newhampshire,Durham,NH,1,1,#004371,0,43.14,-70.93,1
190,New Mexico,Lobos,69,UNM  ,newmexico,Albuquerque,NM,20,1,#C41E3A,0,35.11,-106.61,1
191,New Mexico State,Aggies,67,NMSU ,newmexicostate,Las Cruces,NM,32,1,#730000,292,32.32,-106.77,1
192,New Orleans,Privateers,16,UNO  ,neworleans,New Orleans,LA,27,1,#2B3986,0,29.97,-90.06,1
193,Niagara,Purple Eagles,31,NIAG ,niagara,Lewiston,NY,16,1,#4F2170,0,43.17,-79.04,1
194,Nicholls State,Colonels,18,NICH ,nichollsstate,Thibodaux,LA,27,1,#AF1E2D,0,29.79,-90.82,1
195,NJIT,Highlanders,34,NJIT ,njit,Newark,NJ,5,1,#900108,0,40.74,-74.17,1
196,Norfolk State,Spartans,38,NORF ,norfolkstate,Norfolk,VA,18,1,#08614F,0,36.89,-76.26,1
197,North Carolina,Tar Heels,89,UNC  ,northcarolina,Chapel Hill,NC,4,1,#5FB1E0,0,35.93,-79.04,1
198,North Carolina A&T,Aggies,14,NC AT,northcarolinaat,Greensboro,NC,18,1,#002659,0,36.08,-79.82,1
199,North Carolina Central,Eagles,58,NCCU ,northcarolinacentral,Durham,NC,18,1,#660000,0,35.99,-78.9,1
200,North Carolina State,Wolfpack,80,NC ST,northcarolinastate,Raleigh,NC,4,1,#D4212C,0,35.82,-78.64,1
201,North Dakota,Fighting Sioux,23,UND  ,northdakota,Grand Forks,ND,29,1,#017338,207,47.93,-97.03,1
202,North Dakota State,Bison,60,NDSU ,northdakotastate,Fargo,ND,29,1,#006633,266,46.88,-96.79,1
203,North Florida,Ospreys,43,UNF  ,northflorida,Jacksonville,FL,5,1,#000098,130,30.33,-81.66,1
204,North Texas,Mean Green,34,UNT  ,northtexas,Denton,TX,13,1,#006342,238,33.22,-97.13,1
205,Northeastern,Huskies,52,NE   ,northeastern,Boston,MA,12,1,#D72D35,0,42.32,-71.09,1
206,Northern Arizona,Lumberjacks,37,NAU  ,northernarizona,Flagstaff,AZ,8,1,#001894,273,35.2,-111.63,1
207,Northern Colorado,Bears,32,NO CO,northerncolorado,Greeley,CO,8,1,#000066,201,40.42,-104.71,1
208,Northern Illinois,Huskies,36,NIU  ,northernillinois,DeKalb,IL,17,2,#E73139,0,41.93,-88.75,1
209,Northern Iowa,Panthers,80,UNI  ,northerniowa,Cedar Falls,IA,19,1,#4A015B,0,42.52,-92.45,1
210,Northern Kentucky,Norse,25,NKU  ,nku,Highland Heights,KY,14,1,#FFD700,0,39.04,-84.45,1
211,Northwestern,Wildcats,60,NW   ,northwestern,Evanston,IL,10,1,#372286,0,42.05,-87.69,1
212,Northwestern State,Demons,40,NW ST,northwesternstate,Natchitoches,LA,27,1,#4A2F8E,0,31.75,-93.1,1
213,Notre Dame,Fighting Irish,83,ND   ,notredame,South Bend,IN,4,1,#002157,0,41.67,-86.26,1
214,Oakland,Golden Grizzlies,47,OAK  ,oakland,Rochester,MI,14,1,#04091C,70,42.68,-83.13,1
215,Ohio,Bobcats,48,OHIO ,ohio,Athens,OH,17,1,#006342,0,39.33,-82.1,1
216,Ohio State,Buckeyes,89,OH ST,ohiostate,Columbus,OH,10,1,#DE3129,0,39.99,-82.99,1
217,Oklahoma,Sooners,84,OKLA ,oklahoma,Norman,OK,6,1,#7B0000,0,35.22,-97.42,1
218,Oklahoma State,Cowboys,81,OK ST,oklahomastate,Stillwater,OK,6,1,#FF7300,0,36.16,-97.09,1
219,Old Dominion,Monarchs,60,ODU  ,olddominion,Norfolk,VA,13,1,#00507D,47,36.89,-76.26,1
220,Oral Roberts,Golden Eagles,46,ORU  ,oralroberts,Tulsa,OK,29,1,#002955,0,36.13,-95.94,1
221,Oregon,Ducks,81,ORE  ,oregon,Eugene,OR,23,1,#044520,222,44.06,-123.11,1
222,Oregon State,Beavers,61,OR ST,oregonstate,Corvallis,OR,23,1,#D85A1A,221,44.57,-123.28,1
223,Pacific,Tigers,40,PAC  ,pacific,Stockton,CA,31,1,#FF5109,247,37.98,-121.3,1
224,Penn,Quakers,29,PENN ,pennsylvania,Philadelphia,PA,15,1,#96203D,232,40,-75.14,1
225,Penn State,Nittany Lions,66,PSU  ,pennstate,State College,PA,10,1,#002654,0,40.79,-77.86,1
226,Pepperdine,Waves,47,PEPP ,pepperdine,Malibu,CA,31,1,#2B6396,152,34.03,-118.78,1
227,Pittsburgh,Panthers,78,PITT ,pittsburgh,Pittsburgh,PA,4,1,#313169,0,40.44,-79.98,1
228,Portland,Pilots,50,PORT ,portland,Portland,OR,31,1,#25205E,102,45.52,-122.64,1
229,Portland State,Vikings,29,PT ST,portlandstate,Portland,OR,8,1,#005E60,243,45.52,-122.64,1
230,Prairie View A&M,Panthers,17,PVAM ,prairieviewam,Prairie View,TX,28,1,#4D0960,293,30.08,-95.99,1
231,Presbyterian,Blue Hose,14,PRES ,presbyterian,Clinton,SC,9,1,#013082,344,34.47,-81.88,1
232,Princeton,Tigers,59,PRIN ,princeton,Princeton,NJ,15,1,#F96302,224,40.35,-74.66,1
233,Providence,Friars,78,PROV ,providence,Providence,RI,7,1,#6C6468,0,41.82,-71.42,1
234,Purdue,Boilermakers,76,PUR  ,purdue,West Lafayette,IN,10,1,#211818,0,40.44,-86.91,1
235,Quinnipiac,Bobcats,48,QUIN ,quinnipiac,Hamden,CT,16,1,#051D45,0,41.31,-72.91,1
236,Radford,Highlanders,37,RAD  ,radford,Radford,VA,9,1,#BD1818,110,37.13,-80.57,1
237,Rhode Island,Rams,65,URI  ,rhodeisland,Kingston,RI,3,1,#003559,0,41.48,-71.53,1
238,Rice,Owls,32,RICE ,rice,Houston,TX,13,1,#00315A,204,29.76,-95.38,1
